product_id,image,is_thumbnail
6,//media.gucci.com/style/DarkGray_Center_0_0_490x490/1671734718/693646_96IWT_8745_003_100_0000_Light-.jpg,0
6,//media.gucci.com/style/DarkGray_Center_0_0_490x490/1664576276/693646_96IWT_8745_001_081_0000_Light-.jpg,0
6,//media.gucci.com/style/DarkGray_Center_0_0_490x490/1664576279/693646_96IWT_8745_002_081_0000_Light-.jpg,0
6,//media.gucci.com/style/DarkGray_Center_0_0_490x490/1671734718/693646_96IWT_8745_003_100_0000_Light-.jpg,0
6,//media.gucci.com/style/DarkGray_Center_0_0_490x490/1664576286/693646_96IWT_8745_012_081_0000_Light-.jpg,0
6,//media.gucci.com/style/DarkGray_Center_0_0_490x490/1664576288/693646_96IWT_8745_013_081_0000_Light-.jpg,0
7,//media.gucci.com/style/White_South_0_160_316x316/1645725634/693664_96IWN_4076_001_090_0000_Light-.jpg,1
7,//media.gucci.com/style/DarkGray_Center_0_0_490x490/1675277146/693664_96IWN_4076_003_100_0000_Light-.jpg,0
7,//media.gucci.com/style/DarkGray_Center_0_0_490x490/1645725636/693664_96IWN_4076_002_090_0000_Light-.jpg,0
7,//media.gucci.com/style/DarkGray_Center_0_0_490x490/1675277146/693664_96IWN_4076_003_100_0000_Light-.jpg,0
7,//media.gucci.com/style/DarkGray_Center_0_0_490x490/1675277150/693664_96IWN_4076_004_100_0000_Light-.jpg,0
7,//media.gucci.com/style/DarkGray_Center_0_0_490x490/1645725638/693664_96IWN_4076_009_090_0000_Light-.jpg,0
7,//media.gucci.com/style/DarkGray_Center_0_0_490x490/1645725639/693664_96IWN_4076_010_090_0000_Light-.jpg,0
7,//media.gucci.com/style/DarkGray_Center_0_0_490x490/1645725640/693664_96IWN_4076_012_090_0000_Light-.jpg,0
7,//media.gucci.com/style/DarkGray_Center_0_0_490x490/1645725641/693664_96IWN_4076_013_090_0000_Light-.jpg,0
8,//media.gucci.com/style/White_South_0_160_316x316/1645725642/693674_96IWN_4076_001_100_0000_Light-.jpg,1
8,//media.gucci.com/style/DarkGray_Center_0_0_490x490/1675276203/693674_96IWN_4076_003_100_0000_Light-.jpg,0
8,//media.gucci.com/style/DarkGray_Center_0_0_490x490/1645725642/693674_96IWN_4076_001_100_0000_Light-.jpg,0
8,//media.gucci.com/style/DarkGray_Center_0_0_490x490/1645725644/693674_96IWN_4076_002_100_0000_Light-.jpg,0
8,//media.gucci.com/style/DarkGray_Center_0_0_490x490/1675276203/693674_96IWN_4076_003_100_0000_Light-.jpg,0
8,//media.gucci.com/style/DarkGray_Center_0_0_490x490/1675276208/693674_96IWN_4076_004_100_0000_Light-.jpg,0
8,//media.gucci.com/style/DarkGray_Center_0_0_490x490/1645725646/693674_96IWN_4076_009_100_0000_Light-.jpg,0
8,//media.gucci.com/style/DarkGray_Center_0_0_490x490/1645725647/693674_96IWN_4076_010_100_0000_Light-.jpg,0
8,//media.gucci.com/style/DarkGray_Center_0_0_490x490/1645725648/693674_96IWN_4076_012_100_0000_Light-.jpg,0
8,//media.gucci.com/style/DarkGray_Center_0_0_490x490/1645725649/693674_96IWN_4076_013_100_0000_Light-.jpg,0
9,//media.gucci.com/style/White_South_0_160_316x316/1651185977/693674_96IWT_8745_001_100_0000_Light-.jpg,1
9,//media.gucci.com/style/DarkGray_Center_0_0_490x490/1671733838/693674_96IWT_8745_003_100_0000_Light-.jpg,0
9,//media.gucci.com/style/DarkGray_Center_0_0_490x490/1651185977/693674_96IWT_8745_001_100_0000_Light-.jpg,0
9,//media.gucci.com/style/DarkGray_Center_0_0_490x490/1651185978/693674_96IWT_8745_002_100_0000_Light-.jpg,0
9,//media.gucci.com/style/DarkGray_Center_0_0_490x490/1671733838/693674_96IWT_8745_003_100_0000_Light-.jpg,0
9,//media.gucci.com/style/DarkGray_Center_0_0_490x490/1671733841/693674_96IWT_8745_004_100_0000_Light-.jpg,0
